cat_traveller_id,cat_traveller,traveller_cat,country_res_id,country_res_name,adjustment_type_id,adjustment_type,frequency_id,frequency,time_period,observation_value,unit_measurement_id,unit_measurement,table
6,Short-term (less than one year) Visitors arriving,Visitors arriving,5102,Cambodia,10,Original,M,Monthly,2023-04,2490,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,1505,Samoa,10,Original,M,Monthly,2023-04,2870,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,2201,Ireland,10,Original,M,Monthly,2023-04,4380,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,3106,Portugal,10,Original,M,Monthly,2023-04,1310,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,3307,Poland,10,Original,M,Monthly,2023-04,430,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,5105,Vietnam,10,Original,M,Monthly,2023-04,29410,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,8213,Peru,10,Original,M,Monthly,2023-04,260,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,9225,South Africa,10,Original,M,Monthly,2023-04,7130,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,2401,Denmark,10,Original,M,Monthly,2023-04,1730,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,4213,Saudi Arabia,10,Original,M,Monthly,2023-04,650,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,5203,Malaysia,10,Original,M,Monthly,2023-04,15330,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,6203,"Korea, South",10,Original,M,Monthly,2023-04,15700,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,6105,Taiwan,10,Original,M,Monthly,2023-04,6890,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,2201,Ireland,10,Original,M,Monthly,2023-05,3780,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,8203,Brazil,10,Original,M,Monthly,2023-05,3520,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,1502,Fiji,10,Original,M,Monthly,2023-05,29910,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,4205,Israel,10,Original,M,Monthly,2023-05,2660,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,6102,Hong Kong,10,Original,M,Monthly,2023-05,9740,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,1304,Vanuatu,10,Original,M,Monthly,2023-05,1560,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,4203,Iran,10,Original,M,Monthly,2023-05,640,NUM,Number,sc
