cat_traveller_id,cat_traveller,traveller_cat,duration_id,duration_stay,duration_around,reason_id,reason_journey,adjustment_type_id,adjustment_type,frequency_id,frequency,time_period,observation_value,unit_measurement_id,unit_measurement,table
5,Short-term (less than one year) Residents returning,Residents returning,2W,1 and under 2 weeks,10,TOT,Total,10,Original,M,Monthly,2018-04,356310,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,TOT,Total,,2,Convention/conference,10,Original,M,Monthly,2018-04,23070,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,2M,1 and under 2 months,45,TOT,Total,10,Original,M,Monthly,2018-04,72510,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,6M,3 and under 6 months,120,TOT,Total,10,Original,M,Monthly,2018-04,15580,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,TOT,Total,,O,Other & not stated,10,Original,M,Monthly,2018-04,26860,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,TOT,Total,,O,Other & not stated,10,Original,M,Monthly,2018-04,26520,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,3M,2 and under 3 months,75,TOT,Total,10,Original,M,Monthly,2018-04,26220,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,TOT,Total,,2,Convention/conference,10,Original,M,Monthly,2018-04,25490,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,TOT,Total,,3,Business,10,Original,M,Monthly,2018-04,58330,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,1M,2 weeks and under 1 month,21,TOT,Total,10,Original,M,Monthly,2018-04,120480,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,2M,1 and under 2 months,45,TOT,Total,10,Original,M,Monthly,2018-04,46540,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,TOT,Total,,5,Visiting friends/relatives,10,Original,M,Monthly,2018-04,242460,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,6M,3 and under 6 months,120,TOT,Total,10,Original,M,Monthly,2018-04,41140,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,TOT,Total,,8,Education,10,Original,M,Monthly,2018-04,13720,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,1M,2 weeks and under 1 month,21,TOT,Total,10,Original,M,Monthly,2018-04,306640,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,TOT,Total,,5,Visiting friends/relatives,10,Original,M,Monthly,2018-04,206060,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,TOT,Total,,3,Business,10,Original,M,Monthly,2018-04,72310,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,3M,2 and under 3 months,75,TOT,Total,10,Original,M,Monthly,2018-04,13450,NUM,Number,rs
